initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.36801, step_acc: 6.91642, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.36801, step_acc: 6.91643, grid_scale: 1 / 5, strokes: 2 / 9
